標準的な日本語	ヒカマニ・ゲイマスオ風の日本語
おはようございます。今日も一日頑張りましょう。	ブンブンハローRed♪Tube。過去と未来の狭間の日も一日、やぁりましょう！
こんにちは、今日の天気は素晴らしいですね。	ブンブンハローYouTube。過去と未来の狭間の日の天気は非常にもう、ひじょーに抜ける👍なぁ、そうに決まってる。
この映画は本当に感動的でした。涙が止まりません。	このAV、マジで抜ける👍泣け、ゥ。(泣く)
彼の行動には全く理解ができません。	あいつのやらかし、ﾅﾆｺﾚ？ﾊ？ﾁｮｯﾄﾏｯﾃﾁｮｯﾄﾏｯﾃ……
この新商品はとても素晴らしい出来ですね。	この新商品は抜ける👍ね 言うまでもない。
会議を始めたいと思います。	勢姿ぶちまけイベント、やぁりましょう！って言いたいじゃないですか。
もう我慢の限界です。本当に腹が立ちます。	我慢できなぁ～い！マジでキレてる→
このプロジェクトを成功させるのは、かなり難しいでしょう。	このオールスターダスト計画、あ　ちなみにかなり難しいです。
あなたの意見には同意できません。	お前の意見はﾀﾀﾅｲ👎なぁ、そうに決まってる。
大変申し訳ございませんでした。	この度は本当に、申し訳ございませんでした。
なんて美しい光景なんだろう。	なんか、エロいなちょっと。
彼の言っていることは支離滅裂で、意味が分かりません。	あいつの発言、(省略)キンかよ…どゆこと？
やっと仕事が終わりました。疲れました。	枕仕事、終わった…終わったぁ…(泣く)
これは一体どういうことなのでしょうか？	これ、どゆこと？マジでガチで笑えない…
彼のあの態度、本当に許せないです。	あいつの態度、許せんなぁ、許せんなぁ！
素晴らしい！最高の気分です！	気ぃぃ持ち良いぃぃ！やぁぁったぁぁあああ！！
この料理はとても美味しいですね。	このウンコは非常にもう、ひじょーに抜ける👍
あの人は誰なのでしょうか？見たことがありません。	あいつは誰？韓国のプロゲーマーかよ…
この問題は簡単そうに見えて、実は奥が深い。	この問題、簡単そうに見えて、あ　ちなみにかなり難しいです。
また失敗してしまいました。もう嫌になります。	またやらかした…(泣く)もうこういうやらかす性格どうにかしたいです…
彼のダジャレは本当につまらないですね。	あいつのダジャレ、カニキンでもﾀﾀﾅｲ👎
さあ、始めましょうか。	さぁ、ここからがハイライトだ。
君のせいで計画が台無しだ。	お前のせいでオールスターダスト計画が台無しじゃ～ん、やめろよクッパお前は。
彼の部屋は散らかっていて汚いですね。	あいつの部屋、下品だなぁ、そうに決まってる。
そんなことで泣かないでください。	ぶん殴るぞ泣き虫。
このパソコンはとても快適に動作します。	このGALLERIA、ｶｲﾃｷﾆﾃﾞｷﾙは神。
彼の計画の全貌が気になります。	あいつのオールスターダスト計画、気になるなぁ、そうに決まってる。
どうしてそんなひどいことをするのですか。	お前何やってんの？💢いたずらの域を遥かに超えている。
あなたの助けが必要です。力を貸してください。	ヒカキンさんのアナ、ゥお借りしたいんです！
夢が叶いそうです。とても嬉しいです。	果てしなく続く空その先にあるものが叶いそうで、非常にもう、ひじょーに抜ける👍
もう終わりです。全てが無駄になりました。	終わった…終わったぁ…(泣く) 全てが無駄骨だ…
彼の才能には驚かされます。	あいつの才能、やっぱりアメリカはすごい！
この場所はなんだか不気味ですね。	なんだこの渋谷のロフト…ｱﾔｼｲｱﾔｼｲ…
そんなことは絶対にありえません。	そんなこと、絶対にありません。絶対に。確信しています。
静かにしてください。うるさいです。	うるさいわボケー！鼓膜すり切れました…
彼の秘密を暴露してしまいましょう。	あいつのケツの穴、暴露してやぁりましょう！
この仕事、いつ終わるのでしょうか。	この枕仕事、果てしなく続く空その先にあるものかよ…
一体何が起こっているのですか？	何を四天王！？
あなたのせいで大変なことになりました。	お前のせいで(レイプされちゃった…)
この景色、心に染みますね。	この景色、輝きを秘める者だなぁ、そうに決まってる。
今日は一日、家でゆっくり過ごしたいです。	過去と未来の狭間の日は、家でオナニーしたいですｶｷ。
彼のジョークには笑ってしまいました。	あいつのダジャレで笑、ゥ。腹筋すり切れました…
もう許してください。	もう許して…(泣く)
彼の見た目は少し変わっていますね。	あいつの見た目、！？かよ…
信じられないかもしれませんが、これは事実です。	信じられないかもしれナイTNTN♪ゲール、ゥ～♪けど、これが真実だ ありがたい。
君の言うことはいつも否定的だ。	お前否定キンだろ。
この件については、彼に任せましょう。	この件については、ペナルティマン紅茶監督に任せましょう！
何だかいい匂いがしますね。	うわくっせ！
彼の作る料理は本当にひどい。	あいつの料理、(吐く)レベルでﾀﾀﾅｲ👎
あなたの話はよく分かりません。	お前の話、何語やねん！
どうしてそんなに怒っているのですか？	なんでキレてる→の？
このままでは埒が明きません。	このままじゃラチがあかねぇなぁ、そうに決まってる。
急に大きな音を立てないでください。	急に！？で鼓膜すり切れました…
それは私のものです。返してください。	それは俺のだ、返せよクソが。
これはただの冗談ですよ。	これ全部うっそ～w
彼の部屋の飾り付けは独特ですね。	あいつの部屋、なんか、エロいなちょっと。
申し訳ありませんが、それはできません。	申し訳ございませんが、でも出来ない…
とても眠いです。	眠スギル…♡
そのやり方は間違っています。	そのやり方はﾀﾀﾅｲ👎ね 言うまでもない。
この度は誠におめでとうございます。	この度は誠に抜ける👍なぁ、そうに決まってる。
そんなことをしてはいけません。	法律や法令に違反するようなことはやめましょう！
彼のパワーはすさまじいですね。	あいつのパワー、ウンコの力かよ…
この件についてはノーコメントとさせていただきます。	この件については、絶対にありません。
さあ、皆さんご一緒に。	さあ、皆さんご一緒に、やぁりましょう！
あなたの協力に感謝します。	あなたの協力に感謝、しかないんですけど。
とても悲しい出来事でした。	非常にもう、ひじょーに(泣く)な出来事でした。
彼のプレゼンテーションは完璧でした。	あいつのプレゼン、完璧だなぁ、そうに決まってる。
一体何が目的なのでしょうか。	オールスターダスト計画かよ…
この甘いお菓子が大好きです。	この大納言あずきがちっちゃい頃から好きなんすよね。
この計画は中止になりました。	このオールスターダスト計画は(レイプされちゃった…)
彼のファッションセンスは独特だ。	あいつのファッションセンス、ゲゲゲの鬼太郎キンかよ…
今日はとても運がいい日です。	過去と未来の狭間の日は非常に、もうひじょーに運が抜ける👍日だなぁ。
彼の歌は心に響きます。	あいつの歌、輝きを秘める者だなぁ、そうに決まってる。
この状況をどう打破すればいいのでしょうか。	この状況、どうすりゃいいの？
あなたの努力は必ず報われます。	お前の努力は絶対に報われません。絶対に。確信しています。
この場所はとても落ち着きます。	この渋谷のロフト、気ぃぃ持ち良いぃぃ。
彼の作ったロボットは面白いですね。	あいつの作った爆・笑太郎、笑、ゥ。
もう一度チャンスをください。	もう一度チャンスをお借りしたいんです！
あなたの成功を心から願っています。	お前の成功を心から願ってるね 言うまでもない。
彼の話術にはいつも感心させられます。	あいつの話術、やっぱりアメリカはすごい！
この問題の解決策が見つかりません。	この問題の解決策が絶対にありません。
もうやめてください。	ぶん殴るぞ。
彼の作品は芸術の域を遥かに超えています。	あいつの作品は悪戯の域を遥かに超えている。
あなたの考えを教えてください。	お前の考え、お借りしたいんです！
これは私にとって大切な思い出です。	これは俺にとって大切な思い出だね、言うまでもない。
なんでそんなに意地悪なんですか？	お前ヘイトキンだろ。
この試合は我々の勝利で間違いないでしょう。	この試合は俺たちの勝利だなぁ、そうに決まってる。
彼の部屋はいつも綺麗に片付いていますね。	あいつの部屋、綺麗すぎてﾀﾀﾅｲ👎
あなたのせいで、私の計画が…	お前のせいで俺のオールスターダスト計画が…！
このお店の雰囲気、好きです。	この渋谷のロフトの雰囲気、抜ける👍
もう一度最初からやり直しましょう。	もう一度Let'sオナニー？ やぁりましょう！
